location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	499	0	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	499	0	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	999	500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	999	500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	1499	1000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	1499	1000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	1999	1500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	1999	1500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	2499	2000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	2499	2000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	2999	2500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	2999	2500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	3499	3000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	3499	3000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	3999	3500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	3999	3500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	4499	4000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	4499	4000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	4999	4500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	4999	4500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	5499	5000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	5499	5000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	5999	5500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	5999	5500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	6499	6000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	6499	6000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	6999	6500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	6999	6500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	7499	7000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	7499	7000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	7999	7500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	7999	7500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	8499	8000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	8499	8000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	8999	8500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	8999	8500	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	9499	9000	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	9499	9000	NA	community	NA	NA	NA	Species_richness	plausable_count	0		
individualtimelinenode_40f5222c-4060-4b23-8623-81944b44844f	9999	9500	NA	community	NA	NA	NA	Species_richness	minimum_possible_count	0		
